test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s10,2040,1360,17,150,0.5,True,120,80,,0.10292947292327881,0.06911764705882353,0.06911764705882353,0.029041930704348195
s11,2040,1360,17,150,0.5,True,120,80,,0.38144442439079285,0.11397058823529412,0.11397058823529412,0.06940635974556596
s1,2040,1360,17,150,0.5,True,120,80,,0.1593504101037979,0.057352941176470586,0.05735294117647059,0.014231255372533023
s2,2040,1360,17,150,0.5,True,120,80,,0.37809863686561584,0.05661764705882353,0.05661764705882353,0.025745410882908583
s3,2040,1360,17,150,0.5,True,120,80,,17.408227920532227,0.057352941176470586,0.057352941176470586,0.02031267593432026
s4,2040,1360,17,150,0.5,True,120,80,,0.2289593368768692,0.07647058823529412,0.07647058823529412,0.06536337397476664
s5,2040,1360,17,150,0.5,True,120,80,,0.24344737827777863,0.06911764705882353,0.06911764705882353,0.031234091136020804
s6,2040,1360,17,150,0.5,True,120,80,,0.04427077993750572,0.05808823529411765,0.05808823529411765,0.006463225067495705
s7,2040,1360,17,150,0.5,True,120,80,,0.019639525562524796,0.058823529411764705,0.058823529411764705,0.0065359477124183
s8,2040,1360,17,150,0.5,True,120,80,,0.2732045650482178,0.04264705882352941,0.04264705882352942,0.036104278459270125
s9,2040,1360,17,150,0.5,True,120,80,,0.20824366807937622,0.09117647058823529,0.0911764705882353,0.06164270879627591
