test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s10,2040,1360,17,150,0.5,True,120,80,,0.10292947292327881,0.06470588235294118,0.06470588235294117,0.018571946146528812
s11,2040,1360,17,150,0.5,True,120,80,,0.38144442439079285,0.08308823529411764,0.08308823529411764,0.049654047227191064
s1,2040,1360,17,150,0.5,True,120,80,,0.1593504101037979,0.06544117647058824,0.06544117647058822,0.017599956077229292
s2,2040,1360,17,150,0.5,True,120,80,,0.37809863686561584,0.07794117647058824,0.07794117647058824,0.023626177194017006
s3,2040,1360,17,150,0.5,True,120,80,,17.408227920532227,0.060294117647058824,0.06029411764705882,0.014739487315801832
s4,2040,1360,17,150,0.5,True,120,80,,0.2289593368768692,0.08161764705882353,0.08161764705882354,0.053930428389238526
s5,2040,1360,17,150,0.5,True,120,80,,0.24344737827777863,0.06911764705882353,0.06911764705882353,0.04190527724199033
s6,2040,1360,17,150,0.5,True,120,80,,0.04427077993750572,0.060294117647058824,0.06029411764705882,0.00943273523308701
s7,2040,1360,17,150,0.5,True,120,80,,0.019639525562524796,0.058823529411764705,0.058823529411764705,0.0065359477124183
s8,2040,1360,17,150,0.5,True,120,80,,0.2732045650482178,0.09411764705882353,0.09411764705882353,0.05610455996896883
s9,2040,1360,17,150,0.5,True,120,80,,0.20824366807937622,0.09191176470588236,0.09191176470588236,0.051527416875051905
