test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s10,2040,1360,17,150,0.5,True,120,80,,0.10292947292327881,0.06691176470588235,0.06691176470588237,0.06479562164985783
s11,2040,1360,17,150,0.5,True,120,80,,0.38144442439079285,0.07941176470588235,0.07941176470588236,0.07929848376131167
s1,2040,1360,17,150,0.5,True,120,80,,0.1593504101037979,0.07058823529411765,0.07058823529411765,0.06627730834407283
s2,2040,1360,17,150,0.5,True,120,80,,0.37809863686561584,0.05,0.049999999999999996,0.035221892599305776
s3,2040,1360,17,150,0.5,True,120,80,,17.408227920532227,0.04852941176470588,0.048529411764705876,0.02760545109546128
s4,2040,1360,17,150,0.5,True,120,80,,0.2289593368768692,0.07279411764705883,0.07279411764705881,0.06492148273393104
s5,2040,1360,17,150,0.5,True,120,80,,0.24344737827777863,0.057352941176470586,0.057352941176470586,0.05473639275044368
s6,2040,1360,17,150,0.5,True,120,80,,0.04427077993750572,0.0713235294117647,0.0713235294117647,0.04700870344007996
s7,2040,1360,17,150,0.5,True,120,80,,0.019639525562524796,0.05955882352941176,0.05955882352941176,0.04229251950168797
s8,2040,1360,17,150,0.5,True,120,80,,0.2732045650482178,0.06838235294117648,0.06838235294117646,0.05967855926515326
s9,2040,1360,17,150,0.5,True,120,80,,0.20824366807937622,0.10073529411764706,0.10073529411764705,0.0976286838240972
