test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s10,2040,1360,17,150,0.5,True,120,80,,0.10292947292327881,0.06397058823529411,0.06397058823529411,0.05678246192926458
s11,2040,1360,17,150,0.5,True,120,80,,0.38144442439079285,0.08676470588235294,0.08676470588235294,0.08466373232538384
s1,2040,1360,17,150,0.5,True,120,80,,0.1593504101037979,0.06911764705882353,0.06911764705882353,0.06766562079435463
s2,2040,1360,17,150,0.5,True,120,80,,0.37809863686561584,0.06985294117647059,0.06985294117647059,0.047008177119527844
s3,2040,1360,17,150,0.5,True,120,80,,17.408227920532227,0.057352941176470586,0.05735294117647059,0.03622591514455677
s4,2040,1360,17,150,0.5,True,120,80,,0.2289593368768692,0.06323529411764706,0.06323529411764706,0.052271374712456006
s5,2040,1360,17,150,0.5,True,120,80,,0.24344737827777863,0.07058823529411765,0.07058823529411766,0.06600158350302084
s6,2040,1360,17,150,0.5,True,120,80,,0.04427077993750572,0.06470588235294118,0.06470588235294118,0.04681114969491838
s7,2040,1360,17,150,0.5,True,120,80,,0.019639525562524796,0.057352941176470586,0.05735294117647058,0.03471033169185028
s8,2040,1360,17,150,0.5,True,120,80,,0.2732045650482178,0.075,0.075,0.059766209368740476
s9,2040,1360,17,150,0.5,True,120,80,,0.20824366807937622,0.10441176470588236,0.10441176470588236,0.09740424419131485
