test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s10,20400,1360,17,150,0.5,True,120,80,,0.08906181156635284,0.06764705882352941,0.06764705882352941,0.03246360661917734
s11,20400,1360,17,150,0.5,True,120,80,,0.33765771985054016,0.10661764705882353,0.10661764705882353,0.08865327894576286
s1,20400,1360,17,150,0.5,True,120,80,,0.15775926411151886,0.07720588235294118,0.07720588235294118,0.05945152022182332
s2,20400,1360,17,150,0.5,True,120,80,,0.34224581718444824,0.06323529411764706,0.06323529411764706,0.015454263165706672
s3,20400,1360,17,150,0.5,True,120,80,,14.62727165222168,0.0661764705882353,0.0661764705882353,0.01822841470299244
s4,20400,1360,17,150,0.5,True,120,80,,0.19933398067951202,0.07426470588235294,0.07426470588235295,0.05929041378543585
s5,20400,1360,17,150,0.5,True,120,80,,0.22465427219867706,0.06470588235294118,0.06470588235294117,0.044577993679197035
s6,20400,1360,17,150,0.5,True,120,80,,0.03907814621925354,0.058823529411764705,0.058823529411764705,0.0065359477124183
s7,20400,1360,17,150,0.5,True,120,80,,0.01693536899983883,0.04779411764705882,0.04779411764705882,0.013638986109326769
s8,20400,1360,17,150,0.5,True,120,80,,0.2607569694519043,0.08529411764705883,0.08529411764705883,0.08225870088110486
s9,20400,1360,17,150,0.5,True,120,80,,0.19700589776039124,0.11838235294117647,0.11838235294117648,0.07181323208355492
