test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s10,2040,1360,17,150,0.5,True,120,80,,0.10292960703372955,0.06838235294117648,0.06838235294117648,0.06697486653481954
s11,2040,1360,17,150,0.5,True,120,80,,0.3814440965652466,0.09926470588235294,0.09926470588235294,0.08745097509581681
s1,2040,1360,17,150,0.5,True,120,80,,0.15935024619102478,0.11838235294117647,0.11838235294117648,0.10838971036076683
s2,2040,1360,17,150,0.5,True,120,80,,0.3780968189239502,0.06102941176470588,0.06102941176470589,0.04493374989016253
s3,2040,1360,17,150,0.5,True,120,80,,17.40825843811035,0.057352941176470586,0.05735294117647059,0.03913468136911022
s4,2040,1360,17,150,0.5,True,120,80,,0.2289581298828125,0.07058823529411765,0.07058823529411766,0.0617312387518318
s5,2040,1360,17,150,0.5,True,120,80,,0.24344781041145325,0.0713235294117647,0.0713235294117647,0.06127340935768883
s6,2040,1360,17,150,0.5,True,120,80,,0.04427078738808632,0.06323529411764706,0.06323529411764706,0.03670330602303499
s7,2040,1360,17,150,0.5,True,120,80,,0.0196395106613636,0.05661764705882353,0.056617647058823536,0.03284129380958043
s8,2040,1360,17,150,0.5,True,120,80,,0.27320441603660583,0.06323529411764706,0.06323529411764706,0.05864411297389166
s9,2040,1360,17,150,0.5,True,120,80,,0.2082436978816986,0.08970588235294118,0.08970588235294119,0.08375249263895326
