test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,num_kernels,std_ratio,acc,balanced_acc,macro_f1
s1,44662,3040,38,150,0.5,True,120,80,10000,0.18851783871650696,0.037171052631578945,0.03717105263157894,0.03178030021091936
s10,49080,3360,42,150,0.5,True,120,80,10000,0.17773018777370453,0.043154761904761904,0.04315476190476191,0.03792827917205212
s11,56542,3920,49,150,0.5,True,120,80,10000,0.32840871810913086,0.07653061224489796,0.07653061224489797,0.05796835591701671
s1,11182,1140,38,150,0.5,True,30,30,2000,0.19030900299549103,0.035964912280701755,0.035964912280701755,0.030604620409449796
s2,56542,3920,49,150,0.5,True,120,80,10000,0.32364171743392944,0.022193877551020407,0.022193877551020407,0.01756613096996684
s3,56640,3862,49,150,0.5,True,120,80,10000,10.846578598022461,0.01967892283790782,0.019387755102040816,0.0029823359381820473
s4,56542,3920,49,150,0.5,True,120,80,10000,0.23982404172420502,0.026020408163265306,0.026020408163265306,0.015669373214803956
s5,56542,3920,49,150,0.5,True,120,80,10000,0.27215635776519775,0.02857142857142857,0.02857142857142857,0.018160062763503508
s6,56542,3920,49,150,0.5,True,120,80,10000,0.07469480484724045,0.01913265306122449,0.01913265306122449,0.007073457393047134
s7,56542,3920,49,150,0.5,True,120,80,10000,0.024582980200648308,0.019387755102040816,0.019387755102040816,0.004563139878830153
s8,56542,3920,49,150,0.5,True,120,80,10000,0.22399909794330597,0.0326530612244898,0.0326530612244898,0.027986361606627156
s9,56542,3920,49,150,0.5,True,120,80,10000,0.26528868079185486,0.05918367346938776,0.05918367346938775,0.03535829862773621
