method,test_subject,N_train,N_test,K,win_ms,overlap,strict_purity,train_per_class,test_per_class,std_ratio,acc,balanced_acc,macro_f1,epochs,batch_size,lr,weight_decay,hidden_dim,dropout
mlp_softmax,s10,2040,1360,17,150,0.5,True,120,80,0.10292960703372955,0.05,0.05,0.04887302435670262,20,256,0.001,0.0001,128,0.2
mlp_softmax,s11,2040,1360,17,150,0.5,True,120,80,0.3814440965652466,0.05808823529411765,0.05808823529411765,0.05762118616168091,20,256,0.001,0.0001,128,0.2
mlp_softmax,s1,2040,1360,17,150,0.5,True,120,80,0.15935024619102478,0.07279411764705883,0.07279411764705884,0.07112659595303497,20,256,0.001,0.0001,128,0.2
mlp_softmax,s2,2040,1360,17,150,0.5,True,120,80,0.3780968189239502,0.06102941176470588,0.06102941176470589,0.0612336933147828,20,256,0.001,0.0001,128,0.2
mlp_softmax,s3,2040,1360,17,150,0.5,True,120,80,17.40825843811035,0.061764705882352944,0.06176470588235293,0.058504676760209776,20,256,0.001,0.0001,128,0.2
mlp_softmax,s4,2040,1360,17,150,0.5,True,120,80,0.2289581298828125,0.05514705882352941,0.05514705882352941,0.054600634291246085,20,256,0.001,0.0001,128,0.2
mlp_softmax,s5,2040,1360,17,150,0.5,True,120,80,0.24344781041145325,0.05,0.049999999999999996,0.04929836546798678,20,256,0.001,0.0001,128,0.2
mlp_softmax,s6,2040,1360,17,150,0.5,True,120,80,0.04427078738808632,0.061764705882352944,0.061764705882352944,0.05950588824784308,20,256,0.001,0.0001,128,0.2
mlp_softmax,s7,2040,1360,17,150,0.5,True,120,80,0.0196395106613636,0.0661764705882353,0.0661764705882353,0.06066662432722465,20,256,0.001,0.0001,128,0.2
mlp_softmax,s8,2040,1360,17,150,0.5,True,120,80,0.27320441603660583,0.05955882352941176,0.05955882352941176,0.06040228491812078,20,256,0.001,0.0001,128,0.2
mlp_softmax,s9,2040,1360,17,150,0.5,True,120,80,0.2082436978816986,0.05588235294117647,0.055882352941176466,0.055543654896759886,20,256,0.001,0.0001,128,0.2
