latent_dim,lr,dropout,alpha,balanced_acc
64,0.0005,0.4,0.3,0.10661764705882353
128,0.0005,0.4,0.3,0.10220588235294117
128,0.0005,0.3,0.3,0.10147058823529412
64,0.0001,0.3,0.3,0.09852941176470588
256,0.0001,0.3,0.5,0.09779411764705881
128,0.0001,0.3,0.8,0.09632352941176471
64,0.0005,0.3,0.3,0.0963235294117647
256,0.0005,0.2,0.5,0.09411764705882353
256,0.001,0.2,0.3,0.09411764705882353
64,0.001,0.2,0.3,0.0911764705882353
256,0.0001,0.4,0.5,0.08970588235294119
256,0.0005,0.3,0.5,0.08970588235294118
64,0.001,0.2,0.5,0.08897058823529412
256,0.0005,0.4,0.5,0.08823529411764706
128,0.001,0.2,0.3,0.08823529411764705
128,0.0005,0.4,0.5,0.08750000000000001
128,0.001,0.3,0.5,0.08750000000000001
128,0.001,0.2,0.5,0.0875
64,0.0005,0.2,0.5,0.08676470588235295
64,0.001,0.4,0.3,0.08382352941176471
256,0.0001,0.2,0.5,0.0838235294117647
256,0.0001,0.2,0.8,0.08308823529411766
256,0.0005,0.4,0.3,0.08235294117647059
128,0.001,0.3,0.3,0.08088235294117647
128,0.0005,0.2,0.3,0.08088235294117646
64,0.0001,0.4,0.5,0.08014705882352943
64,0.0005,0.4,0.8,0.08014705882352942
64,0.0001,0.3,0.8,0.0801470588235294
64,0.0001,0.4,0.8,0.07941176470588236
256,0.001,0.3,0.3,0.07941176470588236
128,0.0001,0.2,0.8,0.07867647058823529
64,0.0005,0.4,0.5,0.07794117647058824
64,0.0005,0.2,0.3,0.07720588235294118
128,0.0005,0.3,0.8,0.07720588235294118
64,0.001,0.3,0.3,0.07573529411764705
128,0.0001,0.3,0.3,0.07500000000000001
64,0.0001,0.2,0.5,0.075
128,0.001,0.4,0.3,0.075
256,0.0005,0.2,0.3,0.07352941176470588
64,0.0001,0.2,0.8,0.07279411764705884
128,0.0001,0.4,0.3,0.07279411764705883
256,0.0001,0.2,0.3,0.07279411764705883
64,0.0005,0.3,0.8,0.06985294117647059
64,0.001,0.2,0.8,0.06985294117647059
128,0.0001,0.2,0.3,0.06985294117647059
64,0.0005,0.3,0.5,0.06691176470588235
128,0.0001,0.4,0.8,0.06691176470588235
128,0.0001,0.2,0.5,0.06544117647058824
64,0.0001,0.4,0.3,0.06470588235294117
256,0.0005,0.3,0.3,0.0625
256,0.0001,0.4,0.8,0.061764705882352944
256,0.001,0.4,0.3,0.06176470588235293
64,0.0005,0.2,0.8,0.06102941176470589
128,0.0005,0.2,0.5,0.061029411764705874
64,0.001,0.4,0.5,0.05955882352941176
64,0.0001,0.3,0.5,0.058823529411764705
64,0.001,0.3,0.5,0.058823529411764705
64,0.001,0.3,0.8,0.058823529411764705
64,0.001,0.4,0.8,0.058823529411764705
128,0.001,0.2,0.8,0.058823529411764705
128,0.001,0.3,0.8,0.058823529411764705
128,0.001,0.4,0.5,0.058823529411764705
128,0.001,0.4,0.8,0.058823529411764705
256,0.0005,0.2,0.8,0.058823529411764705
256,0.0005,0.3,0.8,0.058823529411764705
256,0.0005,0.4,0.8,0.058823529411764705
256,0.001,0.2,0.8,0.058823529411764705
256,0.001,0.3,0.5,0.058823529411764705
256,0.001,0.3,0.8,0.058823529411764705
256,0.001,0.4,0.5,0.058823529411764705
256,0.001,0.4,0.8,0.058823529411764705
128,0.0001,0.3,0.5,0.05808823529411765
128,0.0005,0.3,0.5,0.05808823529411765
256,0.001,0.2,0.5,0.05808823529411765
128,0.0005,0.4,0.8,0.05808823529411764
64,0.0001,0.2,0.3,0.05735294117647059
256,0.0001,0.3,0.8,0.057352941176470586
128,0.0005,0.2,0.8,0.05514705882352942
256,0.0001,0.3,0.3,0.05220588235294117
128,0.0001,0.4,0.5,0.048529411764705876
256,0.0001,0.4,0.3,0.04044117647058824
