test_subject,train_N,test_N,K,absmean_train,absmean_test,std_ratio,maj_acc,maj_bacc,proto_acc,proto_bacc,soft_acc,soft_bacc
s1,37436,2914,38,1.629846155992709e-05,6.48278455628315e-06,0.18754313834565306,0.027453671928620454,0.02631578947368421,0.03809196980096088,0.0407901144762617,0.031228551818805766,0.03319978071936069
s2,48062,3765,49,1.603854434506502e-05,1.1319031727907714e-05,0.3123705868130077,0.021248339973439574,0.02040816326530612,0.02257636122177955,0.027475467030723098,0.015139442231075698,0.017305807400147023
s3,48067,3756,49,7.458186701114755e-06,9.364596189698204e-05,12.190746681323935,0.021299254526091587,0.02040816326530612,0.018903088391906284,0.018502117828263383,0.013312034078807242,0.013144974971120525
s4,47939,3920,49,1.602345764695201e-05,1.0582903996692039e-05,0.24689802517742446,0.02040816326530612,0.02040816326530612,0.03494897959183674,0.03494897959183674,0.024489795918367346,0.024489795918367346
s5,47971,3882,49,1.6030779079301283e-05,1.0446468877489679e-05,0.26067120770060476,0.020607934054611025,0.02040816326530612,0.04379185986604843,0.04428499455705199,0.05048943843379701,0.05089721246518635
s6,47950,3888,49,1.6821224562590942e-05,2.9442244340316392e-06,0.0737702272010377,0.0205761316872428,0.02040816326530612,0.026748971193415638,0.026530612244897955,0.023405349794238684,0.023214285714285715
s7,47947,3920,49,1.6963043890427798e-05,1.5497328149649547e-06,0.02526226210777642,0.02040816326530612,0.02040816326530612,0.01989795918367347,0.01989795918367347,0.022704081632653063,0.022704081632653066
s8,48124,3636,49,1.6410978787462227e-05,7.318923508137232e-06,0.20654711143770507,0.022002200220022004,0.02040816326530612,0.03850385038503851,0.0379573454789687,0.038778877887788776,0.04002982073557057
s9,48149,3741,49,1.6063258954090998e-05,1.0525799552851822e-05,0.26523833201487446,0.021384656508954825,0.02040816326530612,0.03608660785886127,0.03607647193515285,0.03822507350975675,0.03932849250881689
s10,40931,3359,42,1.644264193600975e-05,6.2857443481334485e-06,0.1503306899506383,0.023816612086930634,0.023809523809523808,0.045251562965168204,0.04529083785412899,0.044953855314081574,0.044944243520192884
s11,48139,3761,49,1.6046466043917462e-05,1.1041387551813386e-05,0.32490299595572436,0.019143844722148366,0.02040816326530612,0.05530444030842861,0.0549449589657824,0.03616059558628024,0.03692116522861163
